CustomerID,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile
12346.0,325,2,2.08,4,4,4
12347.0,2,182,481.2099999999999,1,1,1
12348.0,75,31,178.71,3,3,2
12349.0,18,73,605.1,2,2,1
12350.0,310,17,65.3,4,4,3
12352.0,36,95,2211.099999999999,2,2,1
12353.0,204,4,24.299999999999997,4,4,4
12354.0,232,58,261.22,4,2,2
12355.0,214,13,54.650000000000006,4,4,3
12356.0,22,59,188.86999999999998,2,2,2
12357.0,33,131,438.66999999999996,2,1,1
12358.0,1,19,157.21,1,3,2
12359.0,7,251,2210.06,1,1,1
12360.0,52,129,457.90999999999997,3,1,1
12361.0,287,10,33.349999999999994,4,4,4
12362.0,3,274,1083.29,1,1,1
12363.0,109,23,53.17000000000001,3,3,3
12364.0,7,85,162.37,1,2,2
12365.0,291,23,698.0,4,3,1
12367.0,4,11,35.2,1,4,4
12370.0,51,166,463.9000000000001,3,1,1
12371.0,44,63,244.07999999999998,2,2,2
12372.0,71,52,156.07,3,2,2
12373.0,311,14,64.15,4,4,3
12374.0,25,33,139.25,2,3,2
12375.0,2,18,119.60000000000001,1,3,3
12377.0,315,77,209.34999999999997,4,2,2
12378.0,129,219,656.44,3,1,1
12379.0,81,41,116.6,3,3,3
12380.0,21,105,355.63,2,1,1
12381.0,4,91,417.04,1,2,1
12383.0,184,100,309.36,4,1,1
12384.0,28,30,227.26999999999998,2,3,2
12386.0,337,10,23.910000000000004,4,4,4
12388.0,15,100,277.77,1,1,2
12390.0,79,32,127.9,3,3,3
12391.0,21,93,224.75999999999993,2,2,2
12393.0,72,64,145.9,3,2,2
12394.0,63,27,91.00999999999999,3,3,3
12395.0,15,159,629.59,1,1,1
12397.0,35,126,437.0,2,1,1
12398.0,45,85,169.38000000000002,2,2,2
12399.0,119,59,124.76,3,2,3
12401.0,303,5,48.4,4,4,4
12402.0,323,11,36.2,4,4,4
12403.0,49,6,53.400000000000006,2,4,3
12405.0,148,54,191.39,4,2,2
12406.0,22,108,305.99,2,1,1
12407.0,49,77,251.58999999999997,2,2,2
12408.0,32,113,353.48,2,1,1
12409.0,78,114,402.04,3,1,1
12410.0,301,28,176.96999999999997,4,3,2
12412.0,74,61,165.53999999999996,3,2,2
12413.0,66,40,210.29,3,3,2
12414.0,217,18,154.26000000000002,4,3,2
12415.0,24,778,2499.8199999999997,2,1,1
12417.0,3,198,1074.23,1,1,1
12418.0,112,34,121.19,3,3,3
12420.0,63,29,136.51,3,3,2
12421.0,15,46,204.17999999999998,1,2,2
12422.0,95,39,127.15,3,3,3
12423.0,0,126,365.05000000000007,1,1,1
12424.0,162,30,83.42000000000002,4,3,3
12425.0,78,36,92.32,3,3,3
12426.0,194,30,118.08999999999999,4,3,3
12427.0,11,35,161.17000000000002,1,3,2
12428.0,25,300,1418.79,2,1,1
12429.0,9,97,352.18000000000006,1,2,1
12430.0,43,11,68.48,2,4,3
12431.0,35,239,895.25,2,1,1
12432.0,42,108,1139.4900000000002,2,1,1
